Flight date,Arrival date,Flight number,Day of week,Origin,Destination,Aircraft fleet type,Tail number,PAF,Adjusted PAF,Block time scheduled,Block time planned,Block time actual,Enroute time planned,Enroute time actual,Taxi out time scheduled,Taxi out time planned,Taxi out time actual,Taxi out actual (lbs),Taxi in time scheduled,Taxi in time planned,Taxi in time actual,Arrival time planned,Additional fuel (lbs),Additional fuel (mins),Total fuel planned,Total fuel actual,Converted to Gallons,Take off fuel,Enroute fuel planned,Enroute fuel actual,Arrival fuel planned,Arrival fuel actual,Alternate planned,checAlternate actual,Alternate fuel (min),Alternate fuel (lbs),Alternate distance,Payload weight forecast,Payload weight planned,Payload weight actual,Takeoff weight planned,Takeoff weight actual,Contingency fuel (lbs),Contingency fuel (min),Extra fuel (lbs),Dispatcher remarks,Contingency fuel %,Additional Fuel Actual (lbs),Additional Fuel Actual (min),Extra fuel actual (lbs),Extra fuel reason taxi,Extra fuel reason previous fuel on board,Extra fuel reason delays,Extra fuel reason tankering,Extra fuel reason operational needs,Extra fuel other reason,Fuel impact of adding 5000,Fuel impact of reducing 5000,Payload expected en-route fuel,Enroute Weather Indicator,Turnover Notes,Metar Value,Low Visibility Indicator,Carbon
8/23/2021,8/24/2021,UPS2964,Monday,SDF,ONT,B747-400SF,N578UP,105,105,241,254,256,222,233,10,24,11,0,14,8,12,010600Z,15300,60,106700,106100,53050,106100,74400,74000,28300,30900,0,None,0,0,0,108000,112000,95700,576800,560800,0,0,0,15 MINS ADDTL FUEL FOR ISOLATED TSRA ACTIVITY STL TO BUM. 15 MINS ADDTL FUEL FOR DELAYS DUE TO TRAFFIC. FUEL INCREASED BY 0.9% IN CASE SDF LOAD PLANNING LOADS PERISHABLES.,0,1230,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,72770,FALSE,null,null,FALSE,21.105
8/5/2021,8/6/2021,UPS2900,Thursday,SDF,ONT,B767-300W,N337UP,181,181,240,248,240,226,219,12,14,13,0,6,8,8,052300Z,16700,130,62700,64200,32100,64200,37400,38300,24100,25500,0,None,0,0,0,80000,75000,70100,318800,314900,0,0,700,MEL:28-22-1 FUEL 10;000 LBS CONSIDERED UNUSABLE. ADDTL FUEL FOR WX/ATC ADDTL FOR MEL 28-22-1 10K FUEL UNUSABLE EXTRA FUEL FOR TAX,0,1292,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,500,-400,37008,FALSE,null,null,FALSE,21.105
8/5/2021,8/6/2021,UPS2964,Thursday,SDF,ONT,B747-400F,N572UP,105,105,241,249,244,217,216,10,24,18,0,14,8,10,003100Z,14700,60,99700,105000,52500,105000,68700,68000,27100,34700,0,None,0,0,0,103000,106000,111300,554500,566200,0,0,0,15 MINS ADDTL FUEL FOR ISOLATED TSRA ACTIVITY BUM TO ICT. 15 MINS ADDTL FUEL FOR DELAYS DUE TO TRAFFIC. FUEL INCREASED BY 0.9% IN CASE SDF LOAD PLANNING LOADS PERISHABLES.,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-400,69230,FALSE,null,null,FALSE,21.105
8/6/2021,8/6/2021,UPS0916,Friday,SDF,ONT,MD11-PW,N289UP,82,82,244,236,234,216,218,14,12,9,0,7,8,7,105200Z,6500,30,80000,80000,40000,80000,60000,53200,18300,25600,0,None,0,0,0,84000,105000,82200,445600,423000,0,0,1500,EXTRA FUEL - LIGHT AIRCRAFT,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,400,-400,58176,FALSE,null,null,FALSE,21.105
8/16/2021,8/17/2021,UPS2964,Monday,SDF,ONT,B747-400F,N576UP,118,118,241,245,239,213,214,10,24,8,0,14,8,17,044300Z,17500,70,103100,102600,51300,102600,67900,69800,31200,30000,0,None,0,0,0,113000,120600,110700,572600,564800,0,0,800,30 MINS ADDTL FUEL FOR KONT TRAFFIC. 10 MINS ADDTL FUEL FOR ENRTE WX. FCST SCT CB'S 200NM NORTHEAST OF TOADD. EXTRA FUEL FOR KSDF TAXI.,0,2890,12,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,66910,TRUE,null,null,FALSE,21.105
8/31/2021,8/31/2021,UPS0918,Tuesday,SDF,ONT,B767-300,N374UP,78,78,244,253,244,231,221,12,14,15,0,7,8,8,120400Z,4400,30,53700,53700,26850,53700,40200,38500,12300,14500,0,None,0,0,0,89000,100000,80000,331200,272800,0,0,500,EXTRA FUEL FOR TAXI DELAYS,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,500,-400,38600,FALSE,null,null,FALSE,21.105
9/19/2021,9/19/2021,UPS0900,Sunday,SDF,ONT,B747-400F,N582UP,85,85,237,253,246,221,223,14,24,14,1200,10,8,9,222600Z,10500,40,100600,99700,49850,98500,73000,70200,23600,28300,0,None,0,0,0,145000,142000,124400,591900,572200,0,0,0,10 MINS ADDTL FUEL FOR DELAYS DUE TO TRAFFIC,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,71240,FALSE,null,null,FALSE,21.105
9/19/2021,9/20/2021,UPS0916,Sunday,SDF,ONT,B767-300W,N303UP,90,90,244,255,249,233,228,12,14,14,500,7,8,7,023800Z,5200,40,50700,50300,25150,49800,37300,35500,12100,14300,0,None,0,0,0,83000,79000,52600,309900,283200,0,0,600,ADDTL FUEL FOR ATC EXTRA FUEL FOR APU BURN,0,840,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,500,-500,34660,FALSE,null,null,FALSE,21.105
9/19/2021,9/20/2021,UPS0920,Sunday,SDF,ONT,B747-8F,N610UP,85,85,237,245,245,213,220,14,24,12,1000,10,8,13,002900Z,10900,40,100000,101000,50500,100000,72600,71900,24100,28100,0,None,0,0,0,139000,142000,159300,661900,681500,0,0,0,10 MINS ADDTL FUEL FOR DELAYS DUE TO TRAFFIC,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,-300,73638,FALSE,null,null,FALSE,21.105
9/20/2021,9/20/2021,UPS2462,Monday,SDF,ONT,B767-300W,N348UP,97,97,241,252,247,230,229,12,14,13,200,7,8,5,225600Z,6200,45,55700,55900,27950,55700,40600,39900,13900,15800,0,None,0,0,0,84000,90000,86900,326900,324400,0,0,900,15 MINS ADDTL FUEL FOR ENRTE WX AVOIDANCE EXTRA FUEL FOR EXPECTED TAXI DELAYS,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,400,-400,40352,TRUE,null,null,FALSE,21.105
