Flight date,Arrival date,Flight number,Day of week,Origin,Destination,Aircraft fleet type,Tail number,PAF,Adjusted PAF,Block time scheduled,Block time planned,Block time actual,Enroute time planned,Enroute time actual,Taxi out time scheduled,Taxi out time planned,Taxi out time actual,Taxi out actual (lbs),Taxi in time scheduled,Taxi in time planned,Taxi in time actual,Arrival time planned,Additional fuel (lbs),Additional fuel (mins),Total fuel planned,Total fuel actual,Take off fuel,Enroute fuel planned,Enroute fuel actual,Arrival fuel planned,Arrival fuel actual,Alternate planned,checAlternate actual,Alternate fuel (min),Alternate fuel (lbs),Alternate distance,Payload weight forecast,Payload weight planned,Payload weight actual,Takeoff weight planned,Takeoff weight actual,Contingency fuel (lbs),Contingency fuel (min),Extra fuel (lbs),Dispatcher remarks,Contingency fuel %,Additional Fuel Actual (lbs),Additional Fuel Actual (min),Extra fuel actual (lbs),Extra fuel reason taxi,Extra fuel reason previous fuel on board,Extra fuel reason delays,Extra fuel reason tankering,Extra fuel reason operational needs,Extra fuel other reason,Fuel impact of adding 5000,Fuel impact of reducing 5000,Payload expected en-route fuel,Enroute Weather Indicator,Turnover Notes,Metar Value,Low Visibility Indicator
2022-01-26,2022-01-26,UPS0076,Wednesday,SDF,DXB,B747-8F,N626UP,145,145,809,809,802,780,763,24,24,24,2100,5,5,15,225300Z,10300,36,332600,332800,330700,283700,271000,45600,59700,OOMS,None,40,14800,238,161000,161000,146400,913600,900700,0,0,0,PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF BIG FOR REDISPATCH 30 MINS ADDTL FUEL FOR ENROUTE ATC/WX RAIM CHECK OKAY,0,0,0,0,false,false,false,false,false,false,1300,-1300,279904,true,null,10004KT CAVOK 18/13 Q1015 NOSIG,false
2022-01-21,2022-01-21,UPS0076,Friday,SDF,DXB,B747-8F,N611UP,114,114,809,812,821,783,785,24,24,13,400,5,5,23,225500Z,12500,45,316000,315800,315400,279000,265400,33600,50000,OMSJ,None,13,4700,40,156000,145000,115300,880700,854300,0,0,0,- 10MIN ADDL FUEL FOR ATC PLS CTC FLT CTL W/IN 2 HRS OF WYPT LATAN FOR REDISP RAIM CHECK OK -,0,0,0,0,false,false,false,false,false,false,1200,-1200,271872,false,null,27009KT 190V320 9999 BKN045 19/08 Q1018 NOSIG,false
2021-12-03,2021-12-03,UPS0076,Friday,SDF,DXB,B747-8F,N612UP,121,121,809,816,823,787,784,24,24,21,1500,5,5,18,230400Z,5800,20,343300,343000,341500,302100,285200,38000,56300,OMDW,None,33,11600,148,164000,180000,135100,943400,898900,0,0,0,PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF (BLV) FOR REDISPATCH 14 MIN ADDTL FUEL FOR ATC RAIM CHECK OK,0,0,0,0,false,false,false,false,false,false,1300,-1300,290426,false,null,null,false
2021-09-08,2021-09-08,UPS0076,Wednesday,SDF,DXB,B747-8F,N622UP,117,117,815,823,834,794,794,24,24,17,1500,5,5,23,231300Z,8300,30,336000,335500,334000,297200,286500,35600,47500,OMDW,None,33,11200,148,142000,150000,141400,905500,898500,0,0,0,10 MIN ADDTL FUEL FOR ENRTE WX RAIM CHECK OKAY,0,0,0,0,false,false,false,false,false,false,1200,-1200,295136,true,null,07004KT 020V120 CAVOK 34/28 Q0999 NOSIG,false
2021-08-05,2021-08-05,UPS0076,Thursday,SDF,DXB,B747-8F,N616UP,128,128,815,807,801,778,769,24,24,18,900,5,5,14,214400Z,14100,50,325100,324900,324000,284000,265600,37800,58400,OMSJ,None,13,4800,40,143000,155000,110400,899900,856400,0,0,600,- 30MIN ADDL FUEL FOR ATC EXTRA FUEL FOR TAXI/REDISPATCH PLS CTC FLT CTL W/IN 2 HRS OF WYPT ELB FOR REDISP RAIM CHECK OK -,0,0,0,0,false,false,false,false,false,true,1600,-1400,271512,false,null,10006KT 8000 NSC 34/26 Q0996 NOSIG,false
2021-08-04,2021-08-04,UPS0076,Wednesday,SDF,DXB,B747-8F,N612UP,118,118,815,810,814,781,776,24,24,21,2100,5,5,17,235600Z,11200,40,318700,317300,315200,280600,267800,34800,47400,OMSJ,None,13,4800,40,136000,155000,127400,893800,867300,0,0,900,- EXTRA FUEL FOR TAXI/REDISPATCH PLS CTC FLT CTL W/IN 2 HRS OF WYPT PNZ FOR REDISP RAIM CHECK OK -,0,0,0,0,false,false,false,false,false,true,1500,-1500,272320,false,null,17004KT CAVOK 34/25 Q0998 NOSIG,false
2021-08-18,2021-08-18,UPS0076,Wednesday,SDF,DXB,B747-8F,N618UP,116,116,815,836,830,807,802,24,24,23,2400,5,5,5,223500Z,8400,30,345600,345300,342900,306600,297000,35700,45900,OMDW,None,32,11200,148,137000,150000,135100,915600,902300,0,0,0,FLIGHT RELEASED UNDER OPSPEC B044 CONTACT DISPATCH WITHIN 2 HOURS OF REACHING REDISP WPT RAIM CHECK OKAY CAT DOWNGRADE: CAT I ADDTL FEUL - ATC,0,0,0,0,false,false,false,false,false,false,1300,-1300,302726,false,null,09012KT CAVOK 33/24 Q0998 NOSIG,false
2021-09-09,2021-09-09,UPS0076,Thursday,SDF,DXB,B747-8F,N610UP,132,132,815,832,822,803,798,24,24,17,1200,5,5,7,220600Z,8700,30,351000,350700,349500,306600,291400,41100,58100,OMDW,None,33,11700,148,136000,160000,139200,930900,911600,0,0,600,ADDL FUEL FOR ENRTE WX/ATC. EXTRA TAXI RAIM CHECK OK PLZ CONTACT FLT CNTRL 2 HOURS PRIOR TO BCN WITH ZFW; EST FUEL AND ETA FOR RECLEAR,0,0,0,0,false,false,false,false,false,true,1500,-1400,300776,true,null,12007KT 070V150 6000 NSC 33/29 Q1001 BECMG 4000 HZ,false
2021-10-19,2021-10-19,UPS0076,Tuesday,SDF,DXB,B747-8F,N616UP,132,132,815,830,825,801,794,24,24,18,1400,5,5,13,222100Z,9900,34,355300,354900,353500,308900,288900,43100,64600,OOMS,None,38,14600,217,158000,175000,140200,950000,918800,0,0,1000,A/C DOWNGRADED TO CAT I 15 MINS ADDL FUEL FOR ENRTE ATC EXTRA FUEL FOR EXPECTED TAXI DELAYS RAIM CHECK OK PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF BELIX FOR REDISPATCH TO OMDB,0,0,0,0,false,false,false,false,false,true,1400,-1400,299156,false,null,21004KT 160V230 CAVOK 29/21 Q1009 NOSIG,false
2021-10-05,2021-10-05,UPS0076,Tuesday,SDF,DXB,B747-8F,N612UP,111,111,815,831,812,802,786,24,24,23,1400,5,5,3,223200Z,10900,38,339800,339700,338300,302700,293500,33900,44800,OMSJ,None,13,4900,40,154000,175000,150200,934900,911100,0,0,900,20MINS ADDL FUEL FOR ENRTE WX / ATC EXTRA FUEL FOR EXPECTED TAXI DELAYS RAIM CHECK OK PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF ORTAP FOR REDISPATCH TO OMDB,0,0,0,0,false,false,false,false,false,true,1500,-1400,295756,true,null,10004KT CAVOK 30/26 Q1006 NOSIG,false
2021-11-04,2021-11-05,UPS0076,Thursday,SDF,DXB,B747-8F,N605UP,131,131,812,837,841,808,788,24,24,47,900,8,5,6,002200Z,4300,15,363800,363300,362400,317300,300500,43100,61900,OOMS,None,41,15300,238,158000,158000,144100,941400,928500,0,0,0,15 MIN ADDTL FUEL FOR DELAYS DUE TO TRAFFIC PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF GUNSO FOR REDISPATCH RAIM CHECK OKAY,0,0,0,0,false,false,false,false,false,false,1200,-1200,313964,false,null,VRB02KT 4500 HZ NSC 26/22 Q1011 TEMPO 3000,false
2021-11-05,2021-11-05,UPS0076,Friday,SDF,DXB,B747-400F,N573UP,120,120,800,853,834,824,812,10,24,11,1100,10,5,11,231000Z,2600,10,357100,356700,355600,316500,305900,36600,49700,OOMS,None,40,14500,238,131000,131000,124300,836900,837600,0,0,0,5 MIN ADDTL FUEL FOR DELAYS DUE TO TRAFFIC PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF BEBIX FOR REDISPATCH RAIM CHECK OKAY,0,0,0,0,false,false,false,false,false,false,1400,-1400,314624,false,null,10005KT 060V130 CAVOK 27/20 Q1011 NOSIG,false
2021-11-27,2021-11-28,UPS0076,Saturday,SDF,DXB,B747-8F,N616UP,103,103,809,830,844,801,810,24,24,28,2200,5,5,6,000800Z,2300,8,336200,335900,333700,300700,268000,32200,65700,OMDW,None,27,9900,122,153000,175000,74900,931000,831900,0,0,0,PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF CNA FOR REDISPATCH RAIM CHECK OK,0,0,0,0,false,false,false,false,false,false,1300,-1300,274674,false,null,16005KT CAVOK 23/20 Q1014 NOSIG,false
